Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
1	0.045001	0.103516	7.377899	2.981430	1.474442
2	0.045001	0.103516	7.021795	2.846329	1.437953
3	0.045001	0.103516	6.681149	2.710307	1.370178
4	0.045001	0.103516	6.342189	2.574505	1.302280
5	0.045001	0.103516	6.024510	2.447599	1.239099
6	0.045001	0.103516	5.730856	2.329943	1.180245
7	0.045001	0.103516	5.443438	2.215136	1.123087
8	0.045001	0.103516	5.177732	2.108645	1.069812
9	0.045001	0.103516	4.942385	2.032547	1.017244
10	0.045001	0.103516	4.760248	1.989111	0.978689
11	0.045001	0.103516	4.515977	1.888767	0.930192
12	0.045001	0.103516	4.292400	1.797380	0.886204
13	0.045001	0.103516	4.079714	1.710034	0.843978
14	0.045001	0.103516	3.876114	1.626701	0.803849
15	0.045001	0.103516	3.688449	1.549739	0.766635
16	0.045001	0.103516	3.504129	1.474000	0.730036
17	0.045001	0.103516	3.334638	1.404322	0.696327
18	0.045001	0.103516	3.175094	1.339369	0.665149
19	0.045001	0.103516	3.011666	1.272266	0.632712
20	0.045001	0.103516	2.864889	1.211826	0.603460
21	0.045001	0.103516	2.722314	1.153325	0.575155
22	0.045001	0.103516	2.590264	1.099624	0.549416
23	0.045001	0.103516	2.458322	1.045240	0.523112
24	0.045001	0.103516	2.338361	0.995938	0.499227
25	0.045001	0.103516	2.237843	0.954701	0.479280
26	0.045001	0.103516	2.109891	0.902182	0.453859
27	0.045001	0.103516	2.008352	0.860406	0.433678
28	0.045001	0.103516	1.918297	0.823861	0.416248
29	0.045001	0.103516	1.826187	0.786067	0.397978
30	0.045001	0.103516	1.736256	0.749064	0.380066
31	0.045001	0.103516	1.649424	0.713419	0.362792
32	0.045001	0.103516	1.566795	0.679631	0.346501
33	0.045001	0.103516	1.492760	0.648970	0.331606
34	0.045001	0.103516	1.417666	0.618172	0.316756
35	0.045001	0.103516	1.351087	0.591372	0.304022
36	0.045001	0.103516	1.282926	0.563314	0.290448
37	0.045001	0.103516	1.212419	0.534324	0.276375
38	0.045001	0.103516	1.167225	0.515809	0.267474
39	0.045001	0.103516	1.117299	0.495269	0.257549
40	0.045001	0.103516	1.056847	0.470401	0.245482
41	0.045001	0.103516	1.002894	0.448359	0.234864
42	0.045001	0.103516	0.957961	0.429913	0.225945
43	0.045001	0.103516	0.914143	0.411857	0.217174
44	0.045001	0.103516	0.866857	0.392439	0.207782
45	0.045001	0.103516	0.827361	0.376312	0.199984
46	0.045001	0.103516	0.787831	0.359966	0.192107
47	0.045001	0.103516	0.750835	0.345281	0.185194
48	0.045001	0.103516	0.716030	0.330950	0.178300
49	0.045001	0.103516	0.683392	0.317533	0.171806
50	0.045001	0.103516	0.656269	0.306440	0.166445
51	0.045001	0.103516	0.617413	0.290416	0.158648
52	0.045001	0.103516	0.590013	0.279043	0.153158
53	0.045001	0.103516	0.564266	0.268528	0.148097
54	0.045001	0.103516	0.538996	0.258221	0.143104
55	0.045001	0.103516	0.518131	0.249604	0.138979
56	0.045001	0.103516	0.490913	0.238462	0.133624
57	0.045001	0.103516	0.468486	0.229124	0.129099
58	0.045001	0.103516	0.449150	0.221327	0.125344
59	0.045001	0.103516	0.425183	0.211331	0.120519
60	0.045001	0.103516	0.406612	0.203837	0.116911
61	0.045001	0.103516	0.390153	0.196996	0.113586
62	0.045001	0.103516	0.373013	0.189891	0.110204
63	0.045001	0.103516	0.350172	0.180348	0.105614
64	0.045001	0.103516	0.339104	0.175801	0.103398
65	0.045001	0.103516	0.325565	0.170264	0.100771
66	0.045001	0.103516	0.313169	0.165133	0.098299
67	0.045001	0.103516	0.297857	0.158810	0.095249
68	0.045001	0.103516	0.280853	0.151749	0.091877
69	0.045001	0.103516	0.271837	0.147878	0.090032
70	0.045001	0.103516	0.262214	0.143940	0.088110
71	0.045001	0.103516	0.252255	0.139875	0.086218
72	0.045001	0.103516	0.243501	0.136084	0.084364
73	0.045001	0.103516	0.232147	0.131417	0.082159
74	0.045001	0.103516	0.221153	0.126876	0.080000
75	0.045001	0.103516	0.213586	0.123620	0.078462
76	0.045001	0.103516	0.204703	0.119955	0.076716
77	0.045001	0.103516	0.193819	0.115466	0.074579
78	0.045001	0.103516	0.191846	0.114534	0.074166
79	0.045001	0.103516	0.183364	0.110838	0.072440
80	0.045001	0.103516	0.174548	0.107225	0.070735
81	0.045001	0.103516	0.170098	0.105028	0.069803
82	0.045001	0.103516	0.161978	0.101224	0.068254
83	0.045001	0.103516	0.157222	0.098866	0.067283
84	0.045001	0.103516	0.150315	0.095670	0.065939
85	0.045001	0.103516	0.145791	0.093420	0.065008
86	0.045001	0.103516	0.142015	0.091539	0.064243
87	0.045001	0.103516	0.136734	0.088940	0.063175
88	0.045001	0.103516	0.131928	0.086767	0.062281
89	0.045001	0.103516	0.125991	0.083826	0.061046
90	0.045001	0.103516	0.123598	0.082635	0.060555
91	0.045001	0.103516	0.118676	0.080426	0.059644
92	0.045001	0.103516	0.113636	0.077915	0.058594
93	0.045001	0.103516	0.112154	0.077184	0.058320
94	0.045001	0.103516	0.108372	0.075312	0.057535
95	0.045001	0.103516	0.106392	0.074315	0.057104
96	0.045001	0.103516	0.100767	0.071768	0.056095
97	0.045001	0.103516	0.100981	0.071880	0.056124
98	0.045001	0.103516	0.096884	0.069830	0.055281
99	0.045001	0.103516	0.094006	0.068403	0.054672
100	0.045001	0.103516	0.092342	0.067584	0.054339
101	0.045001	0.103516	0.089303	0.066296	0.053819
102	0.045001	0.103516	0.086904	0.065115	0.053319
103	0.045001	0.103516	0.083542	0.063428	0.052622
104	0.045001	0.103516	0.082978	0.063171	0.052525
105	0.045001	0.103516	0.080118	0.061739	0.051916
106	0.045001	0.103516	0.078158	0.060763	0.051534
107	0.045001	0.103516	0.077455	0.060425	0.051387
108	0.045001	0.103516	0.076437	0.059909	0.051181
109	0.045001	0.103516	0.073714	0.058799	0.050711
110	0.045001	0.103516	0.072608	0.058247	0.050505
111	0.045001	0.103516	0.071419	0.057649	0.050249
112	0.045001	0.103516	0.070836	0.057372	0.050122
113	0.045001	0.103516	0.069095	0.056498	0.049749
114	0.045001	0.103516	0.067217	0.055567	0.049367
115	0.045001	0.103516	0.066878	0.055404	0.049308
116	0.045001	0.103516	0.065992	0.054954	0.049132
117	0.045001	0.103516	0.065528	0.054738	0.049043
118	0.045001	0.103516	0.064390	0.054161	0.048808
119	0.045001	0.103516	0.063535	0.053737	0.048612
120	0.045001	0.103516	0.062329	0.053143	0.048396
121	0.045001	0.103516	0.060771	0.052357	0.048053
122	0.045001	0.103516	0.059871	0.052166	0.047985
123	0.045001	0.103516	0.059995	0.052218	0.048015
124	0.045001	0.103516	0.058964	0.051696	0.047788
125	0.045001	0.103516	0.058438	0.051455	0.047691
126	0.045001	0.103516	0.057073	0.050760	0.047405
127	0.045001	0.103516	0.056929	0.050689	0.047376
128	0.045001	0.103516	0.055786	0.050121	0.047141
129	0.045001	0.103516	0.056144	0.050305	0.047201
130	0.045001	0.103516	0.055724	0.050096	0.047112
131	0.045001	0.103516	0.054555	0.049518	0.046877
132	0.045001	0.103516	0.054655	0.049559	0.046905
133	0.045001	0.103516	0.053461	0.048970	0.046670
134	0.045001	0.103516	0.053461	0.048970	0.046650
135	0.045001	0.103516	0.052751	0.048618	0.046523
136	0.045001	0.103516	0.052858	0.048673	0.046523
137	0.045001	0.103516	0.052669	0.048572	0.046474
138	0.045001	0.103516	0.052475	0.048480	0.046464
139	0.045001	0.103516	0.051294	0.047896	0.046229
140	0.045001	0.103516	0.051306	0.047902	0.046209
141	0.045001	0.103516	0.051413	0.047957	0.046229
142	0.045001	0.103516	0.050483	0.047478	0.046033
143	0.045001	0.103516	0.050546	0.047528	0.046053
144	0.045001	0.103516	0.050175	0.047339	0.045974
145	0.045001	0.103516	0.049787	0.047155	0.045906
146	0.045001	0.103516	0.049672	0.047084	0.045886
147	0.045001	0.103516	0.049383	0.046940	0.045827
148	0.045001	0.103516	0.049271	0.046894	0.045817
149	0.045001	0.103516	0.049032	0.046772	0.045739
150	0.045001	0.103516	0.049007	0.046761	0.045759
151	0.045001	0.103516	0.048743	0.046629	0.045680
152	0.045001	0.103516	0.048604	0.046547	0.045651
153	0.045001	0.103516	0.048548	0.046536	0.045650
154	0.045001	0.103516	0.048103	0.046316	0.045582
155	0.045001	0.103516	0.047913	0.046214	0.045503
156	0.045001	0.103516	0.047989	0.046245	0.045533
157	0.045001	0.103516	0.047889	0.046204	0.045503
158	0.045001	0.103516	0.047537	0.046035	0.045465
159	0.045001	0.103516	0.047732	0.046127	0.045474
160	0.045001	0.103516	0.047712	0.046107	0.045474
161	0.045001	0.103516	0.047418	0.045974	0.045415
162	0.045001	0.103516	0.047373	0.045943	0.045415
163	0.045001	0.103516	0.047104	0.045820	0.045376
