Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
421	0.009001	0.070703	0.030915	0.019419	0.013308
422	0.009001	0.070703	0.030966	0.019440	0.013337
423	0.009001	0.070703	0.030118	0.019030	0.013161
424	0.009001	0.070703	0.030991	0.019450	0.013338
425	0.009001	0.070703	0.031287	0.019608	0.013397
426	0.009001	0.070703	0.030388	0.019153	0.013220
427	0.009001	0.070703	0.029627	0.018779	0.013043
428	0.009001	0.070703	0.030205	0.019066	0.013161
429	0.009001	0.070703	0.029369	0.018637	0.012994
430	0.009001	0.070703	0.029999	0.018969	0.013132
431	0.009001	0.070703	0.028579	0.018263	0.012838
432	0.009001	0.070703	0.029207	0.018570	0.012984
433	0.009001	0.070703	0.028428	0.018177	0.012808
434	0.009001	0.070703	0.028661	0.018309	0.012867
435	0.009001	0.070703	0.028088	0.018013	0.012750
436	0.009001	0.070703	0.029017	0.018468	0.012906
437	0.009001	0.070703	0.026499	0.017225	0.012426
438	0.009001	0.070703	0.028146	0.018049	0.012750
439	0.009001	0.070703	0.027767	0.017844	0.012670
440	0.009001	0.070703	0.027071	0.017521	0.012543
441	0.009001	0.070703	0.027424	0.017691	0.012623
442	0.009001	0.070703	0.027052	0.017501	0.012543
443	0.009001	0.070703	0.027296	0.017614	0.012553
444	0.009001	0.070703	0.026676	0.017322	0.012456
445	0.009001	0.070703	0.026335	0.017134	0.012376
446	0.009001	0.070703	0.026882	0.017419	0.012485
447	0.009001	0.070703	0.026965	0.017465	0.012514
448	0.009001	0.070703	0.025538	0.016745	0.012200
449	0.009001	0.070703	0.025620	0.016790	0.012249
450	0.009001	0.070703	0.025512	0.016735	0.012200
451	0.009001	0.070703	0.025224	0.016591	0.012162
452	0.009001	0.070703	0.025670	0.016811	0.012230
453	0.009001	0.070703	0.023801	0.016125	0.011955
454	0.009001	0.070703	0.023950	0.016187	0.011994
455	0.009001	0.070703	0.023983	0.016212	0.012014
456	0.009001	0.070703	0.025022	0.016484	0.012112
457	0.009001	0.070703	0.023694	0.016069	0.011935
458	0.009001	0.070703	0.023958	0.016202	0.011985
459	0.009001	0.070703	0.025072	0.016505	0.012112
460	0.009001	0.070703	0.025218	0.016601	0.012162
461	0.009001	0.070703	0.023699	0.016060	0.011935
462	0.009001	0.070703	0.023500	0.015977	0.011897
463	0.009001	0.070703	0.023071	0.015752	0.011788
464	0.009001	0.070703	0.023058	0.015747	0.011788
465	0.009001	0.070703	0.023071	0.015752	0.011788
466	0.009001	0.070703	0.023091	0.015772	0.011808
467	0.009001	0.070703	0.023448	0.015932	0.011876
468	0.009001	0.070703	0.023343	0.015901	0.011867
469	0.009001	0.070703	0.022650	0.015543	0.011729
470	0.009001	0.070703	0.022129	0.015292	0.011612
471	0.009001	0.070703	0.022072	0.015256	0.011612
472	0.009001	0.070703	0.021915	0.015179	0.011552
473	0.009001	0.070703	0.022092	0.015276	0.011632
474	0.009001	0.070703	0.020929	0.014689	0.011376
475	0.009001	0.070703	0.021577	0.015016	0.011495
476	0.009001	0.070703	0.021639	0.015042	0.011524
477	0.009001	0.070703	0.022870	0.015646	0.011759
478	0.009001	0.070703	0.021778	0.015123	0.011544
479	0.009001	0.070703	0.021131	0.014796	0.011406
480	0.009001	0.070703	0.021024	0.014740	0.011376
481	0.009001	0.070703	0.021337	0.014893	0.011435
482	0.009001	0.070703	0.021036	0.014745	0.011376
483	0.009001	0.070703	0.021086	0.014766	0.011406
484	0.009001	0.070703	0.020979	0.014710	0.011376
485	0.009001	0.070703	0.020924	0.014698	0.011367
486	0.009001	0.070703	0.020094	0.014284	0.011200
487	0.009001	0.070703	0.020244	0.014347	0.011229
488	0.009001	0.070703	0.020239	0.014356	0.011229
489	0.009001	0.070703	0.019484	0.013973	0.011082
490	0.009001	0.070703	0.020012	0.014239	0.011171
491	0.009001	0.070703	0.020401	0.014423	0.011259
492	0.009001	0.070703	0.019987	0.014229	0.011171
493	0.009001	0.070703	0.020376	0.014413	0.011259
494	0.009001	0.070703	0.019409	0.013942	0.011054
495	0.009001	0.070703	0.019108	0.013794	0.011014
496	0.009001	0.070703	0.019748	0.014105	0.011111
497	0.009001	0.070703	0.019484	0.013973	0.011082
498	0.009001	0.070703	0.019579	0.014024	0.011082
499	0.009001	0.070703	0.019446	0.013957	0.011053
500	0.009001	0.070703	0.018662	0.013574	0.010905
501	0.009001	0.070703	0.018572	0.013513	0.010857
502	0.009001	0.070703	0.019314	0.013891	0.011023
503	0.009001	0.070703	0.018993	0.013722	0.010964
504	0.009001	0.070703	0.018700	0.013589	0.010906
505	0.009001	0.070703	0.018290	0.013384	0.010817
