Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
1	0.280002	0.307422	42.761203	13.078911	8.790618
2	0.280002	0.307422	40.630335	12.438908	8.396613
3	0.280002	0.307422	38.660864	11.845373	7.999892
4	0.280002	0.307422	36.701017	11.255413	7.605769
5	0.280002	0.307422	34.861512	10.702062	7.236285
6	0.280002	0.307422	33.163471	10.190952	6.894690
7	0.280002	0.307422	31.498988	9.689804	6.559878
8	0.280002	0.307422	29.962614	9.227350	6.250834
9	0.280002	0.307422	28.494125	8.829610	5.942988
10	0.280002	0.307422	27.205825	8.474049	5.684860
11	0.280002	0.307422	25.808691	8.050111	5.405058
12	0.280002	0.307422	24.532256	7.662209	5.148864
13	0.280002	0.307422	23.318053	7.292462	4.904486
14	0.280002	0.307422	22.156028	6.938876	4.670872
15	0.280002	0.307422	21.084739	6.613857	4.456311
16	0.280002	0.307422	20.032419	6.293646	4.244927
17	0.280002	0.307422	19.062097	5.999365	4.050596
18	0.280002	0.307422	18.154106	5.722946	3.867953
19	0.280002	0.307422	17.221045	5.439405	3.680810
20	0.280002	0.307422	16.380504	5.183759	3.511762
21	0.280002	0.307422	15.566704	4.936885	3.348857
22	0.280002	0.307422	14.815392	4.707694	3.197286
23	0.280002	0.307422	14.059567	4.478154	3.045845
24	0.280002	0.307422	13.374981	4.270298	2.908546
25	0.280002	0.307422	12.800806	4.096021	2.793425
26	0.280002	0.307422	12.073315	3.874363	2.647137
27	0.280002	0.307422	11.491110	3.697768	2.530487
28	0.280002	0.307422	10.976724	3.541269	2.427157
29	0.280002	0.307422	10.451081	3.381484	2.321554
30	0.280002	0.307422	9.937745	3.225429	2.218634
31	0.280002	0.307422	9.441971	3.075017	2.119191
32	0.280002	0.307422	8.970038	2.931959	2.024822
33	0.280002	0.307422	8.544922	2.802428	1.939026
34	0.280002	0.307422	8.116084	2.671930	1.852918
35	0.280002	0.307422	7.738724	2.556963	1.777031
36	0.280002	0.307422	7.346979	2.438319	1.698567
37	0.280002	0.307422	6.947332	2.316258	1.617950
38	0.280002	0.307422	6.686330	2.237798	1.566283
39	0.280002	0.307422	6.401491	2.150875	1.508856
