Query	B+-Tree	Skan	Adaptive Merging	extendend Adaptive Merging	PCM Adaptive Merging
117	0.056002	0.086484	2.732965	0.879794	0.593353
118	0.056002	0.086484	2.728463	0.878513	0.592441
119	0.056002	0.086484	2.649173	0.854378	0.576594
120	0.056002	0.086484	2.656301	0.856650	0.577960
121	0.056002	0.086484	2.622436	0.846108	0.571071
122	0.056002	0.086484	2.568933	0.830144	0.560520
123	0.056002	0.086484	2.543963	0.822226	0.555389
124	0.056002	0.086484	2.543683	0.822173	0.555222
125	0.056002	0.086484	2.506516	0.811361	0.548207
126	0.056002	0.086484	2.488322	0.805647	0.544445
127	0.056002	0.086484	2.471449	0.800295	0.540740
128	0.056002	0.086484	2.436190	0.790148	0.534187
129	0.056002	0.086484	2.402130	0.779468	0.527174
130	0.056002	0.086484	2.368496	0.768876	0.520045
131	0.056002	0.086484	2.355012	0.765538	0.517941
132	0.056002	0.086484	2.326458	0.756525	0.511835
133	0.056002	0.086484	2.333781	0.758935	0.513496
134	0.056002	0.086484	2.324201	0.755791	0.511495
135	0.056002	0.086484	2.282379	0.742712	0.502892
136	0.056002	0.086484	2.257356	0.735747	0.498159
137	0.056002	0.086484	2.233424	0.728132	0.493200
138	0.056002	0.086484	2.214496	0.722365	0.489383
139	0.056002	0.086484	2.175311	0.710776	0.481743
140	0.056002	0.086484	2.171730	0.709681	0.481057
141	0.056002	0.086484	2.162246	0.706748	0.479007
142	0.056002	0.086484	2.147418	0.702086	0.475930
143	0.056002	0.086484	2.090086	0.684885	0.464644
144	0.056002	0.086484	2.083067	0.682725	0.463272
145	0.056002	0.086484	2.075373	0.680340	0.461566
146	0.056002	0.086484	2.036585	0.668150	0.453528
147	0.056002	0.086484	2.040518	0.669313	0.454383
148	0.056002	0.086484	2.002713	0.658374	0.447199
149	0.056002	0.086484	1.980730	0.651527	0.442583
150	0.056002	0.086484	1.969108	0.647694	0.440073
151	0.056002	0.086484	1.929702	0.636340	0.432492
152	0.056002	0.086484	1.920569	0.633476	0.430611
153	0.056002	0.086484	1.905558	0.628686	0.427420
154	0.056002	0.086484	1.899509	0.626814	0.426338
155	0.056002	0.086484	1.875949	0.619463	0.421381
156	0.056002	0.086484	1.855518	0.612923	0.417156
157	0.056002	0.086484	1.842901	0.609946	0.415222
158	0.056002	0.086484	1.803643	0.597571	0.406899
159	0.056002	0.086484	1.811884	0.600161	0.408727
160	0.056002	0.086484	1.773373	0.588024	0.400568
161	0.056002	0.086484	1.761791	0.585351	0.398860
162	0.056002	0.086484	1.757533	0.584027	0.398122
163	0.056002	0.086484	1.731055	0.575619	0.392532
164	0.056002	0.086484	1.726041	0.574050	0.391334
165	0.056002	0.086484	1.672379	0.558151	0.381023
166	0.056002	0.086484	1.678851	0.560106	0.382273
167	0.056002	0.086484	1.656939	0.553273	0.377657
168	0.056002	0.086484	1.651316	0.551489	0.376462
169	0.056002	0.086484	1.627636	0.544015	0.371670
170	0.056002	0.086484	1.624955	0.543200	0.370990
171	0.056002	0.086484	1.613237	0.539441	0.368595
172	0.056002	0.086484	1.589222	0.532861	0.364146
173	0.056002	0.086484	1.556134	0.522476	0.357310
174	0.056002	0.086484	1.556414	0.522529	0.357478
175	0.056002	0.086484	1.532382	0.514987	0.352346
176	0.056002	0.086484	1.522360	0.511855	0.350299
177	0.056002	0.086484	1.489427	0.502455	0.344140
178	0.056002	0.086484	1.483145	0.500348	0.342769
179	0.056002	0.086484	1.470552	0.496512	0.340208
180	0.056002	0.086484	1.456315	0.491873	0.337183
181	0.056002	0.086484	1.449629	0.489874	0.335931
182	0.056002	0.086484	1.464176	0.494484	0.338842
183	0.056002	0.086484	1.422610	0.482323	0.330805
184	0.056002	0.086484	1.422421	0.482191	0.330687
185	0.056002	0.086484	1.387612	0.471266	0.323620
186	0.056002	0.086484	1.377369	0.468084	0.321395
187	0.056002	0.086484	1.392365	0.472688	0.324529
188	0.056002	0.086484	1.369066	0.465485	0.319690
189	0.056002	0.086484	1.325872	0.452712	0.311361
190	0.056002	0.086484	1.347648	0.458749	0.315244
191	0.056002	0.086484	1.337333	0.456324	0.313583
192	0.056002	0.086484	1.325166	0.452571	0.311307
193	0.056002	0.086484	1.294360	0.442830	0.304695
194	0.056002	0.086484	1.302853	0.445562	0.306518
195	0.056002	0.086484	1.259362	0.431773	0.297511
196	0.056002	0.086484	1.246788	0.428900	0.295576
197	0.056002	0.086484	1.240252	0.426651	0.294093
198	0.056002	0.086484	1.240575	0.426807	0.294261
199	0.056002	0.086484	1.213014	0.418279	0.288566
200	0.056002	0.086484	1.201579	0.414578	0.286056
201	0.056002	0.086484	1.208520	0.416719	0.287592
202	0.056002	0.086484	1.191364	0.411308	0.284002
203	0.056002	0.086484	1.193882	0.412188	0.284632
204	0.056002	0.086484	1.153746	0.400502	0.276818
205	0.056002	0.086484	1.159398	0.402197	0.278016
206	0.056002	0.086484	1.129885	0.392901	0.271861
207	0.056002	0.086484	1.137013	0.395174	0.273226
208	0.056002	0.086484	1.115810	0.388482	0.268953
209	0.056002	0.086484	1.110653	0.386884	0.267754
210	0.056002	0.086484	1.106820	0.385647	0.267073
211	0.056002	0.086484	1.105287	0.385247	0.266730
212	0.056002	0.086484	1.077396	0.377328	0.261599
213	0.056002	0.086484	1.076106	0.376884	0.261260
214	0.056002	0.086484	1.058779	0.371532	0.257668
215	0.056002	0.086484	1.034918	0.363931	0.252710
216	0.056002	0.086484	1.046351	0.367632	0.255102
217	0.056002	0.086484	1.028537	0.361897	0.251338
218	0.056002	0.086484	1.033099	0.363472	0.252366
219	0.056002	0.086484	1.007734	0.355383	0.247068
220	0.056002	0.086484	1.008881	0.355798	0.247234
221	0.056002	0.086484	0.992500	0.351600	0.244502
222	0.056002	0.086484	0.982286	0.348330	0.242448
223	0.056002	0.086484	0.976188	0.346354	0.240961
224	0.056002	0.086484	0.951878	0.338759	0.236122
225	0.056002	0.086484	0.969177	0.344199	0.239713
226	0.056002	0.086484	0.938347	0.334547	0.233217
227	0.056002	0.086484	0.947760	0.337464	0.235266
228	0.056002	0.086484	0.918387	0.328197	0.228995
229	0.056002	0.086484	0.919466	0.328598	0.229280
230	0.056002	0.086484	0.915210	0.327279	0.228428
231	0.056002	0.086484	0.904500	0.324633	0.226769
232	0.056002	0.086484	0.881058	0.317084	0.221915
233	0.056002	0.086484	0.883952	0.317984	0.222598
234	0.056002	0.086484	0.888820	0.319588	0.223509
235	0.056002	0.086484	0.872886	0.314394	0.220194
236	0.056002	0.086484	0.863169	0.311099	0.218193
237	0.056002	0.086484	0.859097	0.309850	0.217452
238	0.056002	0.086484	0.844269	0.304990	0.214365
239	0.056002	0.086484	0.831981	0.300955	0.211675
240	0.056002	0.086484	0.841583	0.304132	0.213678
241	0.056002	0.086484	0.828357	0.299709	0.210817
242	0.056002	0.086484	0.819601	0.297803	0.209733
243	0.056002	0.086484	0.804490	0.292885	0.206532
244	0.056002	0.086484	0.806964	0.293695	0.207163
245	0.056002	0.086484	0.804276	0.292837	0.206530
246	0.056002	0.086484	0.794322	0.289581	0.204589
247	0.056002	0.086484	0.773073	0.282505	0.200015
