T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	189.222526	2129.057000	2318.279526	2483.701240
2	148.687496	2137.987250	2286.674746	2483.701240
3	148.687496	2137.987250	2286.674746	2483.701240
4	136.093830	2140.160750	2276.254580	2483.701240
5	107.480947	2156.036750	2263.517697	2483.701240
10	82.290831	2199.412250	2281.703081	2483.701240
15	82.290831	2199.412250	2281.703081	2483.701240
20	65.658452	2211.697250	2277.355702	2483.701240
25	43.489282	2286.824750	2330.314032	2483.701240
50	36.518271	2501.859500	2538.377771	2483.701240
