T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	35.365541	142.153920	177.519461	185.936046
2	22.106560	145.609920	167.716480	185.936046
3	22.106560	145.609920	167.716480	185.936046
4	22.106560	145.609920	167.716480	185.936046
5	21.317770	146.182320	167.500090	185.936046
10	11.667583	163.645920	175.313503	185.936046
15	11.667583	163.645920	175.313503	185.936046
20	11.667583	163.645920	175.313503	185.936046
25	8.559088	166.529520	175.088608	185.936046
50	2.152355	240.174720	242.327075	185.936046
