T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	11.276336	39.656700	50.933036	53.599605
2	7.077671	40.712700	47.790372	53.599605
3	7.077671	40.712700	47.790372	53.599605
4	7.077671	40.712700	47.790372	53.599605
5	6.827889	40.887600	47.715489	53.599605
10	3.771998	46.223700	49.995698	53.599605
15	3.771998	46.223700	49.995698	53.599605
20	3.771998	46.223700	49.995698	53.599605
25	2.787642	47.104800	49.892442	53.599605
50	0.758843	69.607500	70.366343	53.599605
