T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	35.365541	355.384800	390.750341	398.972526
2	22.106560	364.024800	386.131360	398.972526
3	22.106560	364.024800	386.131360	398.972526
4	22.106560	364.024800	386.131360	398.972526
5	21.317770	365.455800	386.773570	398.972526
10	11.667583	409.114800	420.782383	398.972526
15	11.667583	409.114800	420.782383	398.972526
20	11.667583	409.114800	420.782383	398.972526
25	8.559088	416.323800	424.882888	398.972526
50	2.152355	600.436800	602.589155	398.972526
