T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	1.580800	7.849210	9.430010	9.430010
2	1.580800	7.849210	9.430010	9.430010
3	1.580800	7.849210	9.430010	9.430010
4	1.580800	7.849210	9.430010	9.430010
5	1.580800	7.849210	9.430010	9.430010
10	1.580800	7.849210	9.430010	9.430010
15	1.580800	7.849210	9.430010	9.430010
20	1.580800	7.849210	9.430010	9.430010
25	1.580800	7.849210	9.430010	9.430010
50	1.580800	7.849210	9.430010	9.430010
