T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	4.948992	69.596100	74.545092	74.545092
2	4.948992	69.596100	74.545092	74.545092
3	4.948992	69.596100	74.545092	74.545092
4	4.948992	69.596100	74.545092	74.545092
5	4.948992	69.596100	74.545092	74.545092
10	4.948992	69.596100	74.545092	74.545092
15	4.948992	69.596100	74.545092	74.545092
20	4.948992	69.596100	74.545092	74.545092
25	4.948992	69.596100	74.545092	74.545092
50	4.948992	69.596100	74.545092	74.545092
