T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	4.835072	11.946200	16.781272	16.781272
2	4.835072	11.946200	16.781272	16.781272
3	4.835072	11.946200	16.781272	16.781272
4	4.835072	11.946200	16.781272	16.781272
5	4.835072	11.946200	16.781272	16.781272
10	4.835072	11.946200	16.781272	16.781272
15	4.835072	11.946200	16.781272	16.781272
20	4.835072	11.946200	16.781272	16.781272
25	4.835072	11.946200	16.781272	16.781272
50	4.835072	11.946200	16.781272	16.781272
