T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	34.551181	355.344500	389.895681	397.673573
2	21.600352	370.464500	392.064852	397.673573
3	21.600352	370.464500	392.064852	397.673573
4	21.600352	370.464500	392.064852	397.673573
5	20.829966	372.968750	393.798716	397.673573
10	11.404764	449.372000	460.776764	397.673573
15	11.404764	449.372000	460.776764	397.673573
20	11.404764	449.372000	460.776764	397.673573
25	8.368815	461.987750	470.356565	397.673573
50	2.111522	784.185500	786.297022	397.673573
