T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	189.222526	170.324560	359.547086	527.750880
2	148.687496	171.038980	319.726476	527.750880
3	148.687496	171.038980	319.726476	527.750880
4	136.093830	171.212860	307.306690	527.750880
5	107.480947	172.482940	279.963887	527.750880
10	82.290831	175.952980	258.243811	527.750880
15	82.290831	175.952980	258.243811	527.750880
20	65.658452	176.935780	242.594232	527.750880
25	43.489282	182.945980	226.435262	527.750880
50	36.518271	200.148760	236.667031	527.750880
