T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	189.222526	851.622800	1040.845326	1208.081440
2	148.687496	855.194900	1003.882396	1208.081440
3	148.687496	855.194900	1003.882396	1208.081440
4	136.093830	856.064300	992.158130	1208.081440
5	107.480947	862.414700	969.895647	1208.081440
10	82.290831	879.764900	962.055731	1208.081440
15	82.290831	879.764900	962.055731	1208.081440
20	65.658452	884.678900	950.337352	1208.081440
25	43.489282	914.729900	958.219182	1208.081440
50	36.518271	1000.743800	1037.262071	1208.081440
