T	Czas wstawiania	Czas wyszukiwania	Całkowity czas	Całkowity czas LSM
1	1.580800	19.623025	21.203825	21.203825
2	1.580800	19.623025	21.203825	21.203825
3	1.580800	19.623025	21.203825	21.203825
4	1.580800	19.623025	21.203825	21.203825
5	1.580800	19.623025	21.203825	21.203825
10	1.580800	19.623025	21.203825	21.203825
15	1.580800	19.623025	21.203825	21.203825
20	1.580800	19.623025	21.203825	21.203825
25	1.580800	19.623025	21.203825	21.203825
50	1.580800	19.623025	21.203825	21.203825
