Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
144	0.034718	0.054072	1.189781	0.829310
145	0.034718	0.054072	0.542977	0.181970
146	0.034718	0.054072	0.651118	0.292287
147	0.034718	0.054072	0.541587	0.180748
148	0.034718	0.054072	0.688567	0.329200
149	0.034718	0.054072	0.541107	0.179736
150	0.034718	0.054072	0.725106	0.364905
151	0.034718	0.054072	0.532985	0.173742
152	0.034718	0.054072	0.569875	0.210141
153	0.034718	0.054072	0.724448	0.364710
154	0.034718	0.054072	0.561330	0.202945
155	0.034718	0.054072	1.319619	0.959530
156	0.034718	0.054072	0.577837	0.218956
157	0.034718	0.054072	0.588157	0.227838
158	0.034718	0.054072	0.547928	0.189178
159	0.034718	0.054072	0.651392	0.291659
160	0.034718	0.054072	0.553335	0.193406
161	0.034718	0.054072	0.684290	0.323406
162	0.034718	0.054072	0.521776	0.166096
163	0.034718	0.054072	0.554371	0.190316
164	0.034718	0.054072	0.701235	0.339984
165	0.034718	0.054072	0.534470	0.174311
166	0.034718	0.054072	1.514263	1.154098
167	0.034718	0.054072	0.518032	0.165887
168	0.034718	0.054072	0.556139	0.188948
169	0.034718	0.054072	0.578720	0.218803
170	0.034718	0.054072	0.533206	0.173287
171	0.034718	0.054072	0.639404	0.279479
172	0.034718	0.054072	0.510270	0.150114
173	0.034718	0.054072	0.545111	0.186236
174	0.034718	0.054072	0.647849	0.287664
175	0.034718	0.054072	0.529940	0.170533
176	0.034718	0.054072	0.708661	0.349235
177	0.034718	0.054072	0.511075	0.153043
178	0.034718	0.054072	0.506400	0.144413
179	0.034718	0.054072	2.638121	2.277522
180	0.034718	0.054072	0.506648	0.147443
181	0.034718	0.054072	0.539902	0.179306
182	0.034718	0.054072	0.570673	0.209772
183	0.034718	0.054072	0.496637	0.135734
184	0.034718	0.054072	0.530141	0.175255
185	0.034718	0.054072	0.605692	0.239094
186	0.034718	0.054072	0.492946	0.164638
187	0.034718	0.054072	0.533605	0.141991
188	0.034718	0.054072	0.637980	0.276839
189	0.034718	0.054072	0.491857	0.163541
190	0.034718	0.054072	0.533124	0.141211
191	0.034718	0.054072	0.674039	0.314724
192	0.034718	0.054072	0.490946	0.148077
193	0.034718	0.054072	0.346075	0.165979
194	0.034718	0.054072	0.724351	0.544339
195	0.034718	0.054072	0.297955	0.118407
196	0.034718	0.054072	0.350753	0.172284
197	0.034718	0.054072	0.359551	0.185471
198	0.034718	0.054072	0.319016	0.134278
199	0.034718	0.054072	0.305060	0.126382
200	0.034718	0.054072	0.441302	0.261109
201	0.034718	0.054072	0.288495	0.110604
202	0.034718	0.054072	0.302452	0.124061
203	0.034718	0.054072	0.340560	0.159055
204	0.034718	0.054072	0.435179	0.256158
205	0.034718	0.054072	0.312287	0.133261
206	0.034718	0.054072	0.301794	0.124132
207	0.034718	0.054072	0.315752	0.136387
208	0.034718	0.054072	0.481425	0.303769
209	0.034718	0.054072	0.298156	0.120490
210	0.034718	0.054072	0.301613	0.125142
211	0.034718	0.054072	0.920333	0.742295
212	0.034718	0.054072	0.284321	0.112327
213	0.034718	0.054072	0.298406	0.115825
214	0.034718	0.054072	0.332994	0.156500
215	0.034718	0.054072	0.349203	0.175419
216	0.034718	0.054072	0.287788	0.106700
217	0.034718	0.054072	0.292462	0.115575
218	0.034718	0.054072	0.332210	0.155294
219	0.034718	0.054072	0.385742	0.208514
220	0.034718	0.054072	0.281057	0.104223
221	0.034718	0.054072	0.290163	0.113288
222	0.034718	0.054072	0.299261	0.120990
223	0.034718	0.054072	0.458994	0.283142
224	0.034718	0.054072	0.278276	0.100707
225	0.034718	0.054072	0.288645	0.111182
226	0.034718	0.054072	0.290108	0.114480
227	0.034718	0.054072	0.303462	0.125438
228	0.034718	0.054072	0.456514	0.281283
229	0.034718	0.054072	0.282220	0.104954
230	0.034718	0.054072	0.282042	0.105941
231	0.034718	0.054072	0.328773	0.150630
232	0.034718	0.054072	1.061998	0.886091
233	0.034718	0.054072	0.274454	0.098266
234	0.034718	0.054072	0.281560	0.106586
235	0.034718	0.054072	0.290969	0.111791
236	0.034718	0.054072	0.295821	0.119658
237	0.034718	0.054072	0.340856	0.164399
238	0.034718	0.054072	0.272584	0.096116
239	0.034718	0.054072	0.280170	0.103632
240	0.034718	0.054072	0.287756	0.111237
241	0.034718	0.054072	0.294860	0.117963
242	0.034718	0.054072	0.378783	0.202209
243	0.034718	0.054072	0.267977	0.095501
244	0.034718	0.054072	0.279080	0.100281
245	0.034718	0.054072	0.286970	0.108582
246	0.034718	0.054072	0.294860	0.117331
247	0.034718	0.054072	0.253235	0.077502
248	0.034718	0.054072	0.415447	0.237944
249	0.034718	0.054072	0.262340	0.085973
250	0.034718	0.054072	0.278906	0.098953
251	0.034718	0.054072	0.279027	0.100119
252	0.034718	0.054072	0.287954	0.110379
253	0.034718	0.054072	0.452290	0.271924
254	0.034718	0.054072	0.266107	0.087068
255	0.034718	0.054072	0.252755	0.074716
256	0.034718	0.054072	0.269748	0.107623
257	0.034718	0.054072	0.279153	0.103848
258	0.034718	0.054072	0.291597	0.105187
259	0.034718	0.054072	1.242684	1.062646
260	0.034718	0.054072	0.265625	0.086118
261	0.034718	0.054072	0.251971	0.071605
262	0.034718	0.054072	0.268660	0.088691
263	0.034718	0.054072	0.273032	0.097761
264	0.034718	0.054072	0.286992	0.103555
265	0.034718	0.054072	0.251973	0.070365
266	0.034718	0.054072	0.328258	0.148039
267	0.034718	0.054072	0.261808	0.081600
268	0.034718	0.054072	0.268002	0.090984
269	0.034718	0.054072	0.250579	0.068528
270	0.034718	0.054072	0.274376	0.093539
271	0.034718	0.054072	0.280138	0.103856
272	0.034718	0.054072	0.369346	0.185463
273	0.034718	0.054072	0.250709	0.069376
274	0.034718	0.054072	0.252346	0.073195
275	0.034718	0.054072	0.270431	0.089094
276	0.034718	0.054072	0.246280	0.066041
277	0.034718	0.054072	0.267341	0.088482
278	0.034718	0.054072	0.284512	0.103349
279	0.034718	0.054072	0.246280	0.066634
280	0.034718	0.054072	0.397691	0.216352
281	0.034718	0.054072	0.260363	0.080596
282	0.034718	0.054072	0.245493	0.065550
283	0.034718	0.054072	0.259454	0.079501
284	0.034718	0.054072	0.273411	0.093458
285	0.034718	0.054072	0.241855	0.067972
286	0.034718	0.054072	0.281603	0.093584
287	0.034718	0.054072	0.439210	0.258951
288	0.034718	0.054072	0.240465	0.060684
289	0.034718	0.054072	0.254114	0.073372
290	0.034718	0.054072	0.245014	0.064752
291	0.034718	0.054072	0.253939	0.078407
292	0.034718	0.054072	0.245014	0.060067
293	0.034718	0.054072	0.264861	0.085991
294	0.034718	0.054072	0.278819	0.098250
295	0.034718	0.054072	0.240463	0.059160
296	0.034718	0.054072	0.317956	1.137745
297	0.034718	0.054072	0.244533	0.064326
298	0.034718	0.054072	0.246353	0.066152
299	0.034718	0.054072	0.242533	0.062341
300	0.034718	0.054072	0.257886	0.077687
301	0.034718	0.054072	0.239802	0.059587
302	0.034718	0.054072	0.263773	0.084643
303	0.034718	0.054072	0.278643	0.097822
304	0.034718	0.054072	0.232824	0.053521
305	0.034718	0.054072	0.323550	0.142729
306	0.034718	0.054072	0.233736	0.052729
307	0.034718	0.054072	0.254670	0.073665
308	0.034718	0.054072	0.232950	0.053517
309	0.034718	0.054072	0.261472	0.081255
310	0.034718	0.054072	0.232343	0.052123
311	0.034718	0.054072	0.269969	0.089754
312	0.034718	0.054072	0.231734	0.051518
313	0.034718	0.054072	0.237626	0.058805
314	0.034718	0.054072	0.271489	0.089886
315	0.034718	0.054072	0.237804	0.057593
316	0.034718	0.054072	0.349895	0.169686
317	0.034718	0.054072	0.234898	0.054677
318	0.034718	0.054072	0.250852	0.070627
319	0.034718	0.054072	0.234290	0.054069
320	0.034718	0.054072	0.255831	0.093336
321	0.034718	0.054072	0.231863	0.051639
322	0.034718	0.054072	0.236540	0.088358
323	0.034718	0.054072	0.262510	0.050243
324	0.034718	0.054072	0.237018	0.056797
325	0.034718	0.054072	0.265366	0.085921
326	0.034718	0.054072	0.234292	0.053277
327	0.034718	0.054072	0.391286	0.211061
328	0.034718	0.054072	0.230471	0.050241
329	0.034718	0.054072	0.236538	0.056311
330	0.034718	0.054072	0.242607	0.062378
331	0.034718	0.054072	0.233506	0.053275
332	0.034718	0.054072	0.253959	0.073728
333	0.034718	0.054072	0.230471	0.050240
334	0.034718	0.054072	0.236060	0.055829
335	0.034718	0.054072	0.254565	0.077547
336	0.034718	0.054072	0.230473	0.047026
337	0.034718	0.054072	0.235146	0.054911
338	0.034718	0.054072	0.265364	0.085131
339	0.034718	0.054072	0.232418	0.052177
340	0.034718	0.054072	0.428433	0.247710
341	0.034718	0.054072	0.225259	0.045498
342	0.034718	0.054072	0.232114	0.051875
343	0.034718	0.054072	0.246071	0.065830
344	0.034718	0.054072	0.229207	0.049443
345	0.034718	0.054072	0.228774	0.048060
346	0.034718	0.054072	0.253351	0.073114
347	0.034718	0.054072	0.228599	0.048366
348	0.034718	0.054072	0.228295	0.048062
349	0.034718	0.054072	0.259851	0.080712
350	0.034718	0.054072	0.229208	0.048368
351	0.034718	0.054072	0.228774	0.048054
352	0.034718	0.054072	0.267435	0.087205
353	0.034718	0.054072	0.229209	0.048974
354	0.034718	0.054072	0.227384	0.047147
355	0.034718	0.054072	0.654941	0.474706
356	0.034718	0.054072	0.223869	0.045024
357	0.034718	0.054072	0.231634	0.050017
358	0.034718	0.054072	0.229810	0.049591
359	0.034718	0.054072	0.239345	0.059106
360	0.034718	0.054072	0.225385	0.046564
361	0.034718	0.054072	0.234668	0.053059
362	0.034718	0.054072	0.245109	0.064892
363	0.034718	0.054072	0.228120	0.047897
364	0.034718	0.054072	0.226294	0.046062
365	0.034718	0.054072	0.229026	0.048781
366	0.034718	0.054072	0.254514	0.074289
367	0.034718	0.054072	0.225385	0.045144
368	0.034718	0.054072	0.234188	0.053945
369	0.034718	0.054072	0.258889	0.079426
370	0.034718	0.054072	0.223867	0.042868
371	0.034718	0.054072	0.231156	0.050941
372	0.034718	0.054072	0.227026	0.046813
373	0.034718	0.054072	0.305793	0.125582
374	0.034718	0.054072	0.223387	0.043174
375	0.034718	0.054072	0.229762	0.050031
376	0.034718	0.054072	0.227810	0.047125
377	0.034718	0.054072	0.236738	0.056534
378	0.034718	0.054072	0.223387	0.043186
379	0.034718	0.054072	0.229764	0.049559
380	0.034718	0.054072	0.227026	0.046817
381	0.034718	0.054072	0.244019	0.063818
382	0.034718	0.054072	0.223083	0.042880
383	0.034718	0.054072	0.224907	0.044708
384	0.034718	0.054072	0.232796	0.070323
385	0.034718	0.054072	0.250821	0.070614
386	0.034718	0.054072	0.222475	0.042280
387	0.034718	0.054072	0.224297	0.044100
388	0.034718	0.054072	0.225032	0.045911
389	0.034718	0.054072	0.227636	0.046339
390	0.034718	0.054072	0.258409	0.079594
391	0.034718	0.054072	0.223387	0.041790
392	0.034718	0.054072	0.223515	0.043308
393	0.034718	0.054072	0.232796	0.052589
394	0.034718	0.054072	0.341852	0.161645
395	0.034718	0.054072	0.221997	0.041792
396	0.034718	0.054072	0.223515	0.043310
397	0.034718	0.054072	0.225031	0.044827
398	0.034718	0.054072	0.226546	0.046343
399	0.034718	0.054072	0.235649	0.055927
400	0.034718	0.054072	0.221997	0.041318
401	0.034718	0.054072	0.223515	0.043310
402	0.034718	0.054072	0.225032	0.044828
403	0.034718	0.054072	0.226546	0.046347
404	0.034718	0.054072	0.218784	0.063032
405	0.034718	0.054072	0.243235	0.038579
406	0.034718	0.054072	0.221995	0.041792
407	0.034718	0.054072	0.222123	0.043314
408	0.034718	0.054072	0.225031	0.043438
409	0.034718	0.054072	0.226546	0.046343
410	0.034718	0.054072	0.249735	0.069532
411	0.034718	0.054072	0.221213	0.041792
412	0.034718	0.054072	0.223513	0.042522
413	0.034718	0.054072	0.224552	0.044348
414	0.034718	0.054072	0.226548	0.038571
415	0.034718	0.054072	0.218782	0.044945
416	0.034718	0.054072	0.257017	0.078202
417	0.034718	0.054072	0.220907	0.040706
418	0.034718	0.054072	0.222729	0.042518
419	0.034718	0.054072	0.224550	0.044342
420	0.034718	0.054072	0.218782	0.038567
421	0.034718	0.054072	0.225154	0.044949
422	0.034718	0.054072	0.378693	0.198484
423	0.034718	0.054072	0.221211	0.040998
424	0.034718	0.054072	0.223033	0.042822
425	0.034718	0.054072	0.218782	0.038519
426	0.034718	0.054072	0.223641	0.043429
427	0.034718	0.054072	0.224676	0.044419
428	0.034718	0.054072	0.235171	0.054954
429	0.034718	0.054072	0.218784	0.038521
430	0.034718	0.054072	0.219515	0.039256
431	0.034718	0.054072	0.222729	0.042460
432	0.034718	0.054072	0.224553	0.044289
433	0.034718	0.054072	0.217390	0.037131
434	0.034718	0.054072	0.225460	0.045185
435	0.034718	0.054072	0.241971	0.061702
436	0.034718	0.054072	0.218782	0.037121
437	0.034718	0.054072	0.219515	0.040632
438	0.034718	0.054072	0.222251	0.041974
439	0.034718	0.054072	0.217392	0.037129
440	0.034718	0.054072	0.223945	0.043669
441	0.034718	0.054072	0.225282	0.045009
442	0.034718	0.054072	0.217392	0.037137
443	0.034718	0.054072	0.248951	0.068688
444	0.034718	0.054072	0.221515	0.041250
445	0.034718	0.054072	0.217390	0.037145
446	0.034718	0.054072	0.221643	0.041408
447	0.034718	0.054072	0.218302	0.038057
448	0.034718	0.054072	0.222553	0.060061
449	0.034718	0.054072	0.225282	0.045061
450	0.034718	0.054072	0.217390	0.037159
451	0.034718	0.054072	0.256537	0.075826
452	0.034718	0.054072	0.218302	0.037167
453	0.034718	0.054072	0.218731	0.039894
454	0.034718	0.054072	0.218302	0.038085
455	0.034718	0.054072	0.221033	0.040804
456	0.034718	0.054072	0.223769	0.037295
457	0.034718	0.054072	0.216302	0.042314
458	0.034718	0.054072	0.225282	0.045055
459	0.034718	0.054072	0.217390	0.037159
460	0.034718	0.054072	0.415835	0.235591
461	0.034718	0.054072	0.216910	0.036657
462	0.034718	0.054072	0.220125	0.039876
463	0.034718	0.054072	0.218304	0.036679
464	0.034718	0.054072	0.220249	0.041396
465	0.034718	0.054072	0.218304	0.038073
466	0.034718	0.054072	0.221768	0.041510
467	0.034718	0.054072	0.218302	0.038047
