Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
144	0.027588	0.064708	0.207908	0.027621
145	0.027588	0.064708	0.207910	0.027621
146	0.027588	0.064708	0.207910	0.027621
147	0.027588	0.064708	0.207910	0.027621
148	0.027588	0.064708	0.209302	0.029013
149	0.027588	0.064708	0.207910	0.027621
150	0.027588	0.064708	0.207910	0.027621
151	0.027588	0.064708	0.207910	0.027621
152	0.027588	0.064708	0.207910	0.027621
153	0.027588	0.064708	0.207910	0.027621
154	0.027588	0.064708	0.207908	0.027621
155	0.027588	0.064708	0.207910	0.027621
156	0.027588	0.064708	0.207910	0.027621
157	0.027588	0.064708	0.207910	0.027621
158	0.027588	0.064708	0.207910	0.027621
159	0.027588	0.064708	0.207910	0.027621
160	0.027588	0.064708	0.211126	0.030837
161	0.027588	0.064708	0.207910	0.027621
162	0.027588	0.064708	0.207910	0.027621
163	0.027588	0.064708	0.207910	0.027621
164	0.027588	0.064708	0.207914	0.027623
165	0.027588	0.064708	0.207910	0.027621
166	0.027588	0.064708	0.207914	0.027625
167	0.027588	0.064708	0.207914	0.027625
168	0.027588	0.064708	0.207914	0.027625
169	0.027588	0.064708	0.207914	0.027625
170	0.027588	0.064708	0.207914	0.027625
171	0.027588	0.064708	0.207914	0.027625
172	0.027588	0.064708	0.207914	0.027625
173	0.027588	0.064708	0.207914	0.027625
174	0.027588	0.064708	0.207914	0.027625
175	0.027588	0.064708	0.207913	0.027624
176	0.027588	0.064708	0.207913	0.027624
177	0.027588	0.064708	0.207913	0.027624
178	0.027588	0.064708	0.207913	0.027624
179	0.027588	0.064708	0.207913	0.027624
180	0.027588	0.064708	0.207913	0.027624
181	0.027588	0.064708	0.208393	0.028104
