Query	Adaptive Merging	Lazy Adaptive Merging	Adaptive Merging	Lazy Adaptive Merging
144	0.173584	0.192168	0.354386	0.174097
145	0.173584	0.192168	0.353906	0.173621
146	0.173584	0.192168	0.354690	0.174409
147	0.173584	0.192168	0.354994	0.174711
148	0.173584	0.192168	0.355298	0.175013
149	0.173584	0.192168	0.353906	0.173627
150	0.173584	0.192168	0.357119	0.176836
151	0.173584	0.192168	0.354386	0.174107
152	0.173584	0.192168	0.353906	0.173627
153	0.173584	0.192168	0.354690	0.174405
154	0.173584	0.192168	0.353906	0.173617
155	0.173584	0.192168	0.354994	0.174709
156	0.173584	0.192168	0.353906	0.173619
157	0.173584	0.192168	0.355298	0.175009
158	0.173584	0.192168	0.353906	0.173617
159	0.173584	0.192168	0.353906	0.173619
160	0.173584	0.192168	0.358637	0.178350
161	0.173584	0.192168	0.353906	0.173619
162	0.173584	0.192168	0.354386	0.174099
163	0.173584	0.192168	0.353906	0.173619
164	0.173584	0.192168	0.353906	0.173617
165	0.173584	0.192168	0.353906	0.173621
166	0.173584	0.192168	0.354690	0.174405
167	0.173584	0.192168	0.353906	0.173621
168	0.173584	0.192168	0.353906	0.173619
169	0.173584	0.192168	0.353906	0.173617
170	0.173584	0.192168	0.354994	0.174707
171	0.173584	0.192168	0.353906	0.173619
172	0.173584	0.192168	0.353906	0.173621
173	0.173584	0.192168	0.353906	0.173621
174	0.173584	0.192168	0.355298	0.175013
175	0.173584	0.192168	0.353906	0.173619
176	0.173584	0.192168	0.353906	0.173617
177	0.173584	0.192168	0.353906	0.173621
178	0.173584	0.192168	0.353906	0.173619
179	0.173584	0.192168	0.353906	0.173621
180	0.173584	0.192168	0.360155	0.179877
181	0.173584	0.192168	0.355170	0.174895
