Query	Adaptive Merging	Lazy Adaptive Merging	Adaptive Merging	Lazy Adaptive Merging
144	0.624902	0.691805	0.733889	0.626395
145	0.624902	0.691805	0.732430	0.624950
146	0.624902	0.691805	0.734849	0.627384
147	0.624902	0.691805	0.735809	0.628336
148	0.624902	0.691805	0.736769	0.629289
149	0.624902	0.691805	0.732430	0.624972
150	0.624902	0.691805	0.742521	0.635049
151	0.624902	0.691805	0.733889	0.626402
152	0.624902	0.691805	0.732430	0.624968
153	0.624902	0.691805	0.734849	0.627369
154	0.624902	0.691805	0.732430	0.624936
155	0.624902	0.691805	0.735809	0.628329
156	0.624902	0.691805	0.732430	0.624943
157	0.624902	0.691805	0.736769	0.629275
158	0.624902	0.691805	0.732430	0.624936
159	0.624902	0.691805	0.732430	0.624943
160	0.624902	0.691805	0.747314	0.639827
161	0.624902	0.691805	0.732430	0.624943
162	0.624902	0.691805	0.733889	0.626402
163	0.624902	0.691805	0.732430	0.624943
164	0.624902	0.691805	0.732430	0.624936
165	0.624902	0.691805	0.732430	0.624950
166	0.624902	0.691805	0.734849	0.627362
167	0.624902	0.691805	0.732430	0.624950
168	0.624902	0.691805	0.732430	0.624943
169	0.624902	0.691805	0.732430	0.624936
170	0.624902	0.691805	0.735809	0.628322
171	0.624902	0.691805	0.732430	0.624943
172	0.624902	0.691805	0.732430	0.624950
173	0.624902	0.691805	0.732430	0.624950
174	0.624902	0.691805	0.736769	0.629289
175	0.624902	0.691805	0.732430	0.624943
176	0.624902	0.691805	0.732430	0.624936
177	0.624902	0.691805	0.732430	0.624950
178	0.624902	0.691805	0.732430	0.624943
179	0.624902	0.691805	0.732430	0.624950
180	0.624902	0.691805	0.752106	0.644645
181	0.624902	0.691805	0.736308	0.628854
