Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
144	0.121520	0.189336	0.841344	0.697477
145	0.121520	0.189336	1.561936	1.423795
146	0.121520	0.189336	0.678177	0.569185
147	0.121520	0.189336	0.767261	0.601021
148	0.121520	0.189336	0.796256	0.658983
149	0.121520	0.189336	1.784869	1.647498
150	0.121520	0.189336	0.676302	0.539939
151	0.121520	0.189336	0.719319	0.589483
152	0.121520	0.189336	0.782150	0.638958
153	0.121520	0.189336	0.838377	0.701713
154	0.121520	0.189336	1.873870	1.738382
155	0.121520	0.189336	0.713693	0.578037
156	0.121520	0.189336	0.735187	0.607899
157	0.121520	0.189336	0.813020	0.669738
158	0.121520	0.189336	3.211097	3.076337
159	0.121520	0.189336	0.634881	0.507894
160	0.121520	0.189336	0.737091	0.598233
161	0.121520	0.189336	0.728582	0.596349
162	0.121520	0.189336	0.782934	0.650421
163	0.121520	0.189336	1.153097	1.023250
164	0.121520	0.189336	0.681731	0.547218
165	0.121520	0.189336	0.727617	0.596021
166	0.121520	0.189336	0.776343	0.644558
167	0.121520	0.189336	1.283280	1.152769
168	0.121520	0.189336	0.627297	0.516503
169	0.121520	0.189336	0.674161	0.543342
170	0.121520	0.189336	0.721012	0.590228
171	0.121520	0.189336	0.767849	0.616900
172	0.121520	0.189336	1.509068	1.379068
173	0.121520	0.189336	0.620692	0.497591
174	0.121520	0.189336	0.669432	0.532414
175	0.121520	0.189336	0.520342	0.589397
176	0.121520	0.189336	0.712532	0.385606
177	0.121520	0.189336	0.756514	0.627431
178	0.121520	0.189336	1.692637	1.562959
179	0.121520	0.189336	0.615962	0.473005
180	0.121520	0.189336	0.624330	0.481408
181	0.121520	0.189336	0.706809	0.566700
182	0.121520	0.189336	0.723657	0.584219
183	0.121520	0.189336	4.301583	4.171459
184	0.121520	0.189336	0.607496	0.445585
185	0.121520	0.189336	0.505258	0.363085
186	0.121520	0.189336	0.610224	0.476559
187	0.121520	0.189336	0.668326	0.555911
188	0.121520	0.189336	0.745180	0.564167
189	0.121520	0.189336	0.997222	0.857574
190	0.121520	0.189336	0.587751	0.447117
191	0.121520	0.189336	0.500528	0.359244
192	0.121520	0.189336	0.603619	0.475453
193	0.121520	0.189336	0.583270	0.518226
194	0.121520	0.189336	0.639511	0.570906
195	0.121520	0.189336	1.161450	1.097407
196	0.121520	0.189336	0.376107	0.311980
197	0.121520	0.189336	0.481089	0.417018
198	0.121520	0.189336	0.539191	0.476310
199	0.121520	0.189336	0.594438	0.531438
200	0.121520	0.189336	0.367613	0.313156
201	0.121520	0.189336	0.618786	0.552043
202	0.121520	0.189336	1.366610	1.318318
203	0.121520	0.189336	0.415472	0.333721
204	0.121520	0.189336	0.466004	0.404026
205	0.121520	0.189336	0.498832	0.436777
206	0.121520	0.189336	0.587833	0.525484
207	0.121520	0.189336	0.361008	0.298568
208	0.121520	0.189336	0.593430	0.530899
209	0.121520	0.189336	1.610172	1.550453
210	0.121520	0.189336	0.361008	0.302073
211	0.121520	0.189336	0.452891	0.385058
212	0.121520	0.189336	0.532503	0.471057
213	0.121520	0.189336	0.356278	0.294454
214	0.121520	0.189336	0.536224	0.474414
215	0.121520	0.189336	0.388157	0.326291
216	0.121520	0.189336	0.559607	0.507866
217	0.121520	0.189336	2.337997	2.269128
218	0.121520	0.189336	0.353424	0.340642
219	0.121520	0.189336	0.437793	0.358456
220	0.121520	0.189336	0.532503	0.442460
