Query	FD-Tree	Skan	Adaptive Merging	Lazy Adaptive Merging
144	0.096558	0.226506	0.173148	0.098038
145	0.096558	0.226506	0.173148	0.097975
146	0.096558	0.226506	0.173148	0.097968
147	0.096558	0.226506	0.173148	0.097968
148	0.096558	0.226506	0.173148	0.097926
149	0.096558	0.226506	0.173148	0.097926
150	0.096558	0.226506	0.173148	0.097905
151	0.096558	0.226506	0.173148	0.097905
152	0.096558	0.226506	0.173148	0.097863
153	0.096558	0.226506	0.173169	0.097835
154	0.096558	0.226506	0.173169	0.097814
155	0.096558	0.226506	0.173169	0.097814
156	0.096558	0.226506	0.173169	0.097814
157	0.096558	0.226506	0.173169	0.097793
158	0.096558	0.226506	0.173162	0.097793
159	0.096558	0.226506	0.181649	0.106168
160	0.096558	0.226506	0.173169	0.097667
161	0.096558	0.226506	0.173162	0.097639
162	0.096558	0.226506	0.173162	0.097618
163	0.096558	0.226506	0.173162	0.097597
164	0.096558	0.226506	0.173162	0.097555
165	0.096558	0.226506	0.173162	0.097534
166	0.096558	0.226506	0.173162	0.097471
167	0.096558	0.226506	0.173162	0.097450
168	0.096558	0.226506	0.173162	0.097408
169	0.096558	0.226506	0.173162	0.097387
170	0.096558	0.226506	0.173162	0.097366
171	0.096558	0.226506	0.173162	0.097345
172	0.096558	0.226506	0.173162	0.097345
173	0.096558	0.226506	0.173162	0.097261
174	0.096558	0.226506	0.173162	0.097198
175	0.096558	0.226506	0.173155	0.097191
176	0.096558	0.226506	0.173155	0.097170
177	0.096558	0.226506	0.173155	0.097149
178	0.096558	0.226506	0.173155	0.097128
179	0.096558	0.226506	0.173155	0.097086
180	0.096558	0.226506	0.173155	0.097044
181	0.096558	0.226506	0.173155	0.097023
