Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	6514.371166	1273.917962	75.032403
3	6514.371166	1347.917962	149.032403
4	6514.371166	1494.917962	296.032403
5	6514.371166	1513.917962	315.032403
6	6514.371166	1660.917962	462.032403
7	6514.371166	1844.917962	646.032403
8	6514.371166	2028.917962	830.032403
9	6514.371166	2212.917962	1014.032403
10	6514.371166	2231.917962	1033.032403
11	6514.371166	2314.917962	1116.032403
12	6514.371166	2461.917961	1263.032403
13	6514.371166	2535.917961	1337.032403
14	6514.371166	2554.917961	1356.032403
15	6514.371166	2701.917961	1503.032403
16	6514.371166	2775.917961	1577.032403
17	6514.371166	2922.917961	1724.032403
18	6514.371166	3069.917961	1871.032403
19	6514.371166	3106.917961	1908.032403
20	6514.371166	3143.917962	1945.032403
21	6514.371166	7721.917962	6523.032403
