Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	29.948147	9.669096
3	29.948147	9.703746
4	29.948147	9.773046
5	29.948147	9.781796
6	29.948147	9.851096
7	29.948147	9.937546
8	29.948147	10.023996
9	29.948147	10.110446
10	29.948147	10.119196
11	29.948147	10.158046
12	29.948147	10.227346
13	29.948147	10.261996
14	29.948147	10.270746
15	29.948147	10.340046
16	29.948147	10.374696
17	29.948147	10.443996
18	29.948147	10.513296
19	29.948147	10.530796
20	29.948147	10.548296
21	29.948147	12.706046
