Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	8.223140	1685.346426	3.064658
3	8.223140	1686.006426	3.724658
4	8.223140	1686.666426	4.384658
5	8.223140	1687.326426	5.044658
6	8.223140	1687.986426	5.704658
7	8.223140	1688.646426	6.364658
8	8.223140	1689.306426	7.024658
9	8.223140	1689.966426	7.684658
10	8.223140	1690.626426	8.344658
11	8.223140	1691.286426	9.004658
12	8.223140	1691.946426	9.664658
13	8.223140	1692.606426	10.324658
14	8.223140	1693.266426	10.984658
15	8.223140	1693.926426	11.644658
16	8.223140	1694.586426	12.304658
17	8.223140	1695.246426	12.964658
18	8.223140	1695.906426	13.624658
19	8.223140	1696.566426	14.284658
20	8.223140	1697.226426	14.944658
21	8.223140	1697.886426	15.604658
