Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	7504.329846	1116.335703	92.734421
3	7504.329846	1202.735703	179.134421
4	7504.329846	1375.535703	351.934421
5	7504.329846	1398.575703	351.934421
6	7504.329846	1571.375703	524.734421
7	7504.329846	1784.495703	737.854421
8	7504.329846	1997.615703	950.974421
9	7504.329846	2210.735703	1164.094421
10	7504.329846	2233.775703	1164.094421
11	7504.329846	2331.695703	1262.014421
12	7504.329846	2504.495703	1434.814421
13	7504.329846	2590.895703	1521.214421
14	7504.329846	2613.935703	1521.214421
15	7504.329846	2786.735703	1694.014421
16	7504.329846	2873.135703	1780.414421
17	7504.329846	3045.935703	1953.214421
18	7504.329846	3218.735703	2126.014421
19	7504.329846	3264.815703	2172.094421
20	7504.329846	3310.895703	2218.174421
21	7504.329846	8587.055705	7494.334421
