Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	4173.963140	1708.286426	48.944658
3	4173.963140	1755.486426	96.144658
4	4173.963140	1849.486426	190.144658
5	4173.963140	1861.486426	202.144658
6	4173.963140	1955.486426	296.144658
7	4173.963140	2072.686426	413.344658
8	4173.963140	2189.886426	530.544658
9	4173.963140	2307.086426	647.744658
10	4173.963140	2319.086426	659.744658
11	4173.963140	2371.886426	712.544658
12	4173.963140	2465.886426	806.544658
13	4173.963140	2513.086426	853.744658
14	4173.963140	2525.086426	865.744658
15	4173.963140	2619.086426	959.744658
16	4173.963140	2666.286426	1006.944658
17	4173.963140	2760.286426	1100.944658
18	4173.963140	2854.286426	1194.944658
19	4173.963140	2877.886426	1218.544658
20	4173.963140	2901.486426	1242.144658
21	4173.963140	5831.486426	4172.144658
