Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	445.953420	268.599248
3	445.953420	270.772928
4	445.953420	275.120000
5	445.953420	275.663744
6	445.953420	280.010816
7	445.953420	285.444584
8	445.953420	290.878352
9	445.953420	296.312120
10	445.953420	296.855864
11	445.953420	299.301272
12	445.953420	303.648344
13	445.953420	305.822024
14	445.953420	306.365768
15	445.953420	310.712840
16	445.953420	312.886520
17	445.953420	317.233592
18	445.953420	321.580664
19	445.953420	322.667648
20	445.953420	323.754632
21	445.953420	459.590120
