Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	25.963765	2162.072409	9.764221
3	25.963765	2164.232409	11.924221
4	25.963765	2166.392409	14.084221
5	25.963765	2168.552409	16.244221
6	25.963765	2170.712409	18.404221
7	25.963765	2172.872409	20.564221
8	25.963765	2175.032409	22.724221
9	25.963765	2177.192409	24.884221
10	25.963765	2179.352409	27.044221
11	25.963765	2181.512409	29.204221
12	25.963765	2183.672409	31.364221
13	25.963765	2185.832409	33.524221
14	25.963765	2187.992409	35.684221
15	25.963765	2190.152409	37.844221
16	25.963765	2192.312409	40.004221
17	25.963765	2194.472409	42.164221
18	25.963765	2196.632409	44.324221
19	25.963765	2198.792409	46.484221
20	25.963765	2200.952409	48.644221
21	25.963765	2203.112409	50.804221
