Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	25.910146	2533.396824	13.163921
3	25.910146	2537.596824	17.363921
4	25.910146	2541.796824	21.563921
5	25.910146	2545.996824	25.763921
6	25.910146	2550.196824	29.963921
7	25.910146	2554.396824	34.163921
8	25.910146	2558.596824	38.363921
9	25.910146	2562.796824	42.563921
10	25.910146	2566.996824	46.763921
11	25.910146	2571.196824	50.963921
12	25.910146	2575.396824	55.163921
13	25.910146	2579.596824	59.363921
14	25.910146	2583.796824	63.563921
15	25.910146	2587.996824	67.763921
16	25.910146	2592.196824	71.963921
17	25.910146	2596.396824	76.163921
18	25.910146	2600.596824	80.363921
19	25.910146	2604.796824	84.563921
20	25.910146	2608.996824	88.763921
21	25.910146	2613.196824	92.963921
