Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	11731.756716	2080.739207	140.007331
3	11731.756716	2213.939207	273.207331
4	11731.756716	2480.339207	539.607331
5	11731.756716	2516.339207	575.607331
6	11731.756716	2782.739207	842.007331
7	11731.756716	3113.939207	1173.207331
8	11731.756716	3445.139207	1504.407331
9	11731.756716	3776.339207	1835.607331
10	11731.756716	3812.339207	1871.607331
11	11731.756716	3963.539207	2022.807331
12	11731.756716	4229.939207	2289.207331
13	11731.756716	4363.139207	2422.407331
14	11731.756716	4399.139207	2458.407331
15	11731.756716	4665.539207	2724.807331
16	11731.756716	4798.739207	2858.007331
17	11731.756716	5065.139207	3124.407331
18	11731.756716	5331.539207	3390.807331
19	11731.756716	5399.939207	3459.207331
20	11731.756716	5468.339207	3527.607331
21	11731.756716	13708.739208	11768.007331
