Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	9.092422	1847.504860	17.414264
3	9.092422	1856.144860	26.054264
4	9.092422	1864.784860	34.694264
5	9.092422	1873.424860	43.334264
6	9.092422	1882.064860	43.334264
7	9.092422	1890.704860	51.974264
8	9.092422	1899.344860	60.614264
9	9.092422	1907.984859	69.254264
