Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	362.403151	244.389298
3	362.403151	245.446578
4	362.403151	247.560158
5	362.403151	247.824898
6	362.403151	249.938478
7	362.403151	252.580418
8	362.403151	255.222358
9	362.403151	257.864298
10	362.403151	258.129038
11	362.403151	259.318338
12	362.403151	261.431918
13	362.403151	262.489198
14	362.403151	262.753938
15	362.403151	264.867518
16	362.403151	265.924798
17	362.403151	268.038378
18	362.403151	270.151958
19	362.403151	270.680878
20	362.403151	271.209798
21	362.403151	337.241498
