Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	347.168000	3.908000
3	347.168000	7.816000
4	347.168000	15.630000
5	347.168000	16.608000
6	347.168000	24.422000
7	347.168000	34.188000
8	347.168000	43.954000
9	347.168000	53.720000
10	347.168000	54.698000
11	347.168000	59.094000
12	347.168000	66.908000
13	347.168000	70.816000
14	347.168000	71.794000
15	347.168000	79.608000
16	347.168000	83.516000
17	347.168000	91.330000
18	347.168000	99.144000
19	347.168000	101.098000
20	347.168000	103.052000
21	347.168000	347.194000
