Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	287.286431	243.544258
3	287.286431	243.756358
4	287.286431	244.179578
5	287.286431	244.233058
6	287.286431	244.656278
7	287.286431	245.185198
8	287.286431	245.714118
9	287.286431	246.243038
10	287.286431	246.296518
11	287.286431	246.534798
12	287.286431	246.958018
13	287.286431	247.170118
14	287.286431	247.223598
15	287.286431	247.646818
16	287.286431	247.858918
17	287.286431	248.282138
18	287.286431	248.705358
19	287.286431	248.811758
20	287.286431	248.918158
21	287.286431	262.125058
