Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	7312.910146	2571.196824	88.763921
3	7312.910146	2655.196824	172.763921
4	7312.910146	2820.396824	337.963921
5	7312.910146	2842.796824	360.363921
6	7312.910146	3007.996824	525.563921
7	7312.910146	3215.196824	732.763921
8	7312.910146	3422.396824	939.963921
9	7312.910146	3629.596824	1147.163921
10	7312.910146	3651.996824	1169.563921
11	7312.910146	3744.396824	1261.963921
12	7312.910146	3909.596824	1427.163921
13	7312.910146	3993.596824	1511.163921
14	7312.910146	4015.996824	1533.563921
15	7312.910146	4181.196824	1698.763921
16	7312.910146	4265.196824	1782.763921
17	7312.910146	4430.396824	1947.963921
18	7312.910146	4595.596824	2113.163921
19	7312.910146	4637.596824	2155.163921
20	7312.910146	4679.596824	2197.163921
21	7312.910146	9809.196824	7326.763921
