Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	4.171664	571.107192	5.467314
3	4.171664	573.747192	8.107314
4	4.171664	576.387192	10.747314
5	4.171664	579.027192	10.747314
6	4.171664	581.667192	13.387314
7	4.171664	584.307192	16.027314
8	4.171664	586.947192	18.667314
9	4.171664	589.587192	21.307314
10	4.171664	592.227192	21.307314
11	4.171664	594.867192	23.947314
12	4.171664	597.507192	26.587314
13	4.171664	600.147192	29.227314
14	4.171664	602.787192	29.227314
15	4.171664	605.427192	31.867314
16	4.171664	608.067192	34.507314
17	4.171664	610.707192	37.147314
18	4.171664	613.347192	39.787314
19	4.171664	615.987192	42.427314
20	4.171664	618.627192	45.067314
21	4.171664	621.267192	47.707314
