Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	20.545131	6.448106
3	20.545131	6.625765
4	20.545131	6.980906
5	20.545131	7.025366
6	20.545131	7.380505
7	20.545131	7.824385
8	20.545131	8.268265
9	20.545131	8.712145
10	20.545131	8.756605
11	20.545131	8.956405
12	20.545131	9.311545
13	20.545131	9.489205
14	20.545131	9.533665
15	20.545131	9.888806
16	20.545131	10.066465
17	20.545131	10.421606
18	20.545131	10.776746
19	20.545131	10.865666
20	20.545131	10.954586
21	20.545131	22.050866
