Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	2.390508	1.998690
3	2.390508	2.008590
4	2.390508	2.028340
5	2.390508	2.030840
6	2.390508	2.050590
7	2.390508	2.075290
8	2.390508	2.099990
9	2.390508	2.124690
10	2.390508	2.127190
11	2.390508	2.138290
12	2.390508	2.158040
13	2.390508	2.167940
14	2.390508	2.170440
15	2.390508	2.190190
16	2.390508	2.200090
17	2.390508	2.219840
18	2.390508	2.239590
19	2.390508	2.244540
20	2.390508	2.249490
21	2.390508	2.865990
