Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	331.344282	657.406959	54.443398
3	331.344282	716.606959	113.643398
4	331.344282	775.806959	172.843398
5	331.344282	835.006959	232.043398
6	331.344282	841.406959	232.043398
7	331.344282	868.606959	259.243398
8	331.344282	892.606959	283.243398
9	331.344282	940.606959	331.243398
