Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	124.984800	1.411200
3	124.984800	2.822400
4	124.984800	5.637600
5	124.984800	5.990400
6	124.984800	8.805600
7	124.984800	12.326400
8	124.984800	15.847200
9	124.984800	19.368000
10	124.984800	19.720800
11	124.984800	21.304800
12	124.984800	24.120000
13	124.984800	25.531200
14	124.984800	25.884000
15	124.984800	28.699200
16	124.984800	30.110400
17	124.984800	32.925600
18	124.984800	35.740800
19	124.984800	36.446400
20	124.984800	37.152000
21	124.984800	125.049600
