Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	7295.069456	1197.895968	44.983355
3	7295.069456	1287.495968	44.983355
4	7295.069456	1455.495968	44.983355
5	7295.069456	1489.095968	44.983355
6	7295.069456	1657.095968	44.983355
7	7295.069456	1869.895968	44.983355
8	7295.069456	2082.695968	44.983355
9	7295.069456	2295.495968	44.983355
10	7295.069456	2329.095968	44.983355
11	7295.069456	2429.895968	44.983355
12	7295.069456	2597.895968	44.983355
13	7295.069456	2687.495968	44.983355
14	7295.069456	2721.095968	44.983355
15	7295.069456	2889.095968	44.983355
16	7295.069456	2978.695968	44.983355
17	7295.069456	3146.695969	44.983355
18	7295.069456	3314.695969	44.983355
19	7295.069456	3359.495969	44.983355
20	7295.069456	3404.295969	44.983355
21	7295.069456	8533.895968	5174.583355
