Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	349.374780	267.512768
3	349.374780	268.599752
4	349.374780	270.773432
5	349.374780	271.045448
6	349.374780	273.219128
7	349.374780	275.936192
8	349.374780	278.653256
9	349.374780	281.370320
10	349.374780	281.642336
11	349.374780	282.865256
12	349.374780	285.038936
13	349.374780	286.125920
14	349.374780	286.397936
15	349.374780	288.571616
16	349.374780	289.658600
17	349.374780	291.832280
18	349.374780	294.005960
19	349.374780	294.549704
20	349.374780	295.093448
21	349.374780	363.011336
