Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	607.544000	6.860000
3	607.544000	13.706000
4	607.544000	27.384000
5	607.544000	29.106000
6	607.544000	42.784000
7	607.544000	59.878000
8	607.544000	76.972000
9	607.544000	94.066000
10	607.544000	95.788000
11	607.544000	103.488000
12	607.544000	117.166000
13	607.544000	124.012000
14	607.544000	125.734000
15	607.544000	139.412000
16	607.544000	146.258000
17	607.544000	159.936000
18	607.544000	173.614000
19	607.544000	177.044000
20	607.544000	180.474000
21	607.544000	607.726000
