Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	2293.851875	2249.239768	43.450493
3	2293.851875	2277.239768	71.450493
4	2293.851875	2333.239768	127.450493
5	2293.851875	2343.739768	127.450493
6	2293.851875	2399.739768	183.450493
7	2293.851875	2469.739768	253.450493
8	2293.851875	2539.739768	323.450493
9	2293.851875	2609.739768	393.450493
10	2293.851875	2620.239768	393.450493
11	2293.851875	2655.239768	428.450493
12	2293.851875	2711.239768	484.450493
13	2293.851875	2739.239768	512.450493
14	2293.851875	2749.739768	512.450493
15	2293.851875	2805.739768	568.450493
16	2293.851875	2833.739768	596.450493
17	2293.851875	2889.739768	652.450493
18	2293.851875	2945.739768	708.450493
19	2293.851875	2966.739768	729.450493
20	2293.851875	2987.739768	750.450493
21	2293.851875	4590.739768	2353.450493
