Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	13.449847	1078.895703	17.854421
3	13.449847	1087.535703	26.494421
4	13.449847	1096.175703	35.134421
5	13.449847	1104.815703	35.134421
6	13.449847	1113.455703	43.774421
7	13.449847	1122.095703	52.414421
8	13.449847	1130.735703	61.054421
9	13.449847	1139.375703	69.694421
10	13.449847	1148.015703	69.694421
11	13.449847	1156.655703	78.334421
12	13.449847	1165.295703	86.974421
13	13.449847	1173.935703	95.614421
14	13.449847	1182.575703	95.614421
15	13.449847	1191.215703	104.254421
16	13.449847	1199.855703	112.894421
17	13.449847	1208.495703	121.534421
18	13.449847	1217.135703	130.174421
19	13.449847	1225.775703	138.814421
20	13.449847	1234.415703	147.454421
21	13.449847	1243.055703	156.094421
