Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	134.188679	85.467975
3	134.188679	86.071775
4	134.188679	87.279295
5	134.188679	87.430335
6	134.188679	88.637855
7	134.188679	90.147235
8	134.188679	91.656615
9	134.188679	93.165995
10	134.188679	93.317035
11	134.188679	93.996315
12	134.188679	95.203835
13	134.188679	95.807635
14	134.188679	95.958675
15	134.188679	97.166195
16	134.188679	97.769995
17	134.188679	98.977515
18	134.188679	100.185035
19	134.188679	100.486975
20	134.188679	100.788915
21	134.188679	138.520995
