Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	6247	34833	1477
3	6247	34833	1477
4	6247	34833	1477
5	6247	34833	1477
6	6247	34833	1477
7	6247	34833	1477
8	6247	34833	1477
9	6247	34833	1477
10	6247	34833	1477
11	6247	34833	1477
12	6247	34833	1477
13	6247	34833	1477
14	6247	34833	1477
15	6247	34833	1477
16	6247	34833	1477
17	6247	34833	1477
18	6247	34833	1477
19	6247	34833	1477
20	6247	34833	1477
21	6247	34833	1477
