Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	1249.804800	14.068800
3	1249.804800	28.137600
4	1249.804800	56.268000
5	1249.804800	59.788800
6	1249.804800	87.919200
7	1249.804800	123.076800
8	1249.804800	158.234400
9	1249.804800	193.392000
10	1249.804800	196.912800
11	1249.804800	212.738400
12	1249.804800	240.868800
13	1249.804800	254.937600
14	1249.804800	258.458400
15	1249.804800	286.588800
16	1249.804800	300.657600
17	1249.804800	328.788000
18	1249.804800	356.918400
19	1249.804800	363.952800
20	1249.804800	370.987200
21	1249.804800	1249.898400
