Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	6.021166	1238.567962	4.332403
3	6.021166	1240.217962	5.982403
4	6.021166	1241.867962	7.632403
5	6.021166	1243.517962	9.282403
6	6.021166	1245.167962	10.932403
7	6.021166	1246.817962	12.582403
8	6.021166	1248.467962	14.232403
9	6.021166	1250.117962	15.882403
10	6.021166	1251.767962	17.532403
11	6.021166	1253.417962	19.182403
12	6.021166	1255.067962	20.832403
13	6.021166	1256.717962	22.482403
14	6.021166	1258.367962	24.132403
15	6.021166	1260.017962	25.782403
16	6.021166	1261.667962	27.432403
17	6.021166	1263.317962	29.082403
18	6.021166	1264.967962	30.732403
19	6.021166	1266.617962	32.382403
20	6.021166	1268.267962	34.032403
21	6.021166	1269.917962	35.682403
