Liczba zwracanych kolumn	FD-Tree	CF-Tree
2	121.520000	1.372000
3	121.520000	2.744000
4	121.520000	5.488000
5	121.520000	5.838000
6	121.520000	8.582000
7	121.520000	12.012000
8	121.520000	15.442000
9	121.520000	18.872000
10	121.520000	19.222000
11	121.520000	20.762000
12	121.520000	23.506000
13	121.520000	24.878000
14	121.520000	25.228000
15	121.520000	27.972000
16	121.520000	29.344000
17	121.520000	32.088000
18	121.520000	34.832000
19	121.520000	35.518000
20	121.520000	36.204000
21	121.520000	121.660000
