Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	15022.843765	2244.872409	175.364221
3	15022.843765	2414.792409	345.284221
4	15022.843765	2753.192409	683.684221
5	15022.843765	2796.392409	726.884221
6	15022.843765	3134.792409	1065.284221
7	15022.843765	3556.712409	1487.204221
8	15022.843765	3978.632409	1909.124221
9	15022.843765	4400.552409	2331.044221
10	15022.843765	4443.752409	2374.244221
11	15022.843765	4633.832409	2564.324221
12	15022.843765	4972.232409	2902.724221
13	15022.843765	5142.152409	3072.644221
14	15022.843765	5185.352409	3115.844221
15	15022.843765	5523.752409	3454.244221
16	15022.843765	5693.672409	3624.164221
17	15022.843765	6032.072409	3962.564221
18	15022.843765	6370.472409	4300.964221
19	15022.843765	6455.432409	4385.924221
20	15022.843765	6540.392409	4470.884221
21	15022.843765	17088.392409	15018.884221
