Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	22796.851875	2361.239768	267.450493
3	22796.851875	2620.239768	526.450493
4	22796.851875	3138.239768	1044.450493
5	22796.851875	3208.239768	1044.450493
6	22796.851875	3726.239768	1562.450493
7	22796.851875	4370.239768	2206.450493
8	22796.851875	5014.239768	2850.450493
9	22796.851875	5658.239768	3494.450493
10	22796.851875	5728.239768	3494.450493
11	22796.851875	6022.239768	3788.450493
12	22796.851875	6540.239768	4306.450493
13	22796.851875	6799.239768	4565.450493
14	22796.851875	6869.239768	4565.450493
15	22796.851875	7387.239768	5083.450493
16	22796.851875	7646.239768	5342.450493
17	22796.851875	8164.239768	5860.450493
18	22796.851875	8682.239768	6378.450493
19	22796.851875	8815.239768	6511.450493
20	22796.851875	8948.239768	6644.450493
21	22796.851875	24971.239768	22667.450493
