Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	20.669455	1169.895968	16.983355
3	20.669455	1186.695968	16.983355
4	20.669455	1203.495968	16.983355
5	20.669455	1220.295968	16.983355
6	20.669455	1237.095968	16.983355
7	20.669455	1253.895968	16.983355
8	20.669455	1270.695968	16.983355
9	20.669455	1287.495968	16.983355
10	20.669455	1304.295968	16.983355
11	20.669455	1321.095968	16.983355
12	20.669455	1337.895968	16.983355
13	20.669455	1354.695968	16.983355
14	20.669455	1371.495968	16.983355
15	20.669455	1388.295968	16.983355
16	20.669455	1405.095968	16.983355
17	20.669455	1421.895968	16.983355
18	20.669455	1438.695968	16.983355
19	20.669455	1455.495968	16.983355
20	20.669455	1472.295968	16.983355
21	20.669455	1489.095968	33.783355
