Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	6.997992	3285.867014	11.285046
3	6.997992	3291.267014	16.685046
4	6.997992	3296.667014	22.085046
5	6.997992	3302.067014	27.485046
6	6.997992	3307.467014	32.885046
7	6.997992	3312.867014	38.285046
8	6.997992	3318.267014	43.685046
9	6.997992	3323.667014	49.085046
