Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	4167.931664	592.467192	48.187314
3	4167.931664	640.467192	96.187314
4	4167.931664	734.867192	190.587314
5	4167.931664	747.667192	190.587314
6	4167.931664	842.067192	284.987314
7	4167.931664	960.467192	403.387314
8	4167.931664	1078.867192	521.787314
9	4167.931664	1197.267192	640.187314
10	4167.931664	1210.067192	640.187314
11	4167.931664	1262.867192	692.987314
12	4167.931664	1357.267192	787.387314
13	4167.931664	1405.267192	835.387314
14	4167.931664	1418.067192	835.387314
15	4167.931664	1512.467192	929.787314
16	4167.931664	1560.467192	977.787314
17	4167.931664	1654.867192	1072.187314
18	4167.931664	1749.267192	1166.587314
19	4167.931664	1773.267192	1190.587314
20	4167.931664	1797.267192	1214.587314
21	4167.931664	4728.467192	4145.787314
