Liczba zwracanych kolumn	FD-Tree	FBDSM	CF-Tree
2	19.156716	2017.739207	14.007331
3	19.156716	2023.139207	19.407331
4	19.156716	2028.539207	24.807331
5	19.156716	2033.939207	30.207331
6	19.156716	2039.339207	35.607331
7	19.156716	2044.739207	41.007331
8	19.156716	2050.139207	46.407331
9	19.156716	2055.539207	51.807331
10	19.156716	2060.939207	57.207331
11	19.156716	2066.339207	62.607331
12	19.156716	2071.739207	68.007331
13	19.156716	2077.139207	73.407331
14	19.156716	2082.539207	78.807331
15	19.156716	2087.939207	84.207331
16	19.156716	2093.339207	89.607331
17	19.156716	2098.739207	95.007331
18	19.156716	2104.139207	100.407331
19	19.156716	2109.539207	105.807331
20	19.156716	2114.939207	111.207331
21	19.156716	2120.339207	116.607331
